tree_id,height_m,crown_area_sqm,estimated_dbh_cm,agb_kg,total_biomass_kg,carbon_kg,co2_sequestered_kg
134,4.0603943,3.606242888532093,1.3181183,0.12823342,0.19235012,0.090404555,0.33178473
204,0.94721985,2.2482811022733915,0.38416597,0.006177743,0.009266615,0.004355309,0.015983984
221,0.96554565,2.295699394972985,0.3896637,0.0063975044,0.009596257,0.0045102406,0.016552584
242,5.0834656,3.1819309275382093,1.6250398,0.2146045,0.32190675,0.15129617,0.55525696
257,3.8224335,2.2188490586298237,1.2467301,0.11181847,0.16772771,0.07883202,0.28931352
